"researcher","date","location","song","placement","time","type","genre","species","style","coloration","jam_leader","jam_elements","notes","notes_time"
"Pat","2010/6/12","Cuyohoga Falls, Oh","Sneakin' Sally Thru The Alley","Mid 2nd Set",817,"Nightmare Music","Type 2","Dark, Sinister, Evil","","","","[]","",""
"Pat","2010/6/13","Hershey, PA","Drowned","Set 2 Opener",738,"Trey-led Noodling Jam","Type 1","Futuristic","","","","[]","",""
"Pat","2010/6/17","Hartford, CT","Down With Disease","Mid 2nd Set",1009,"Standard Rock Jam (Type 1)","Type 1","Dirty/Bluesy","","","","[""Guy Forget Tease""]","","Guy Forget"
"Pat","2010/6/17","Hartford, CT","Sand","Mid 2nd Set",804,"Standard Rock Jam (Type 1)","Type 1","Dirty/Bluesy","","","","[]","",""
"Pat","2010/6/19","Saratoga, NY","Rock and Roll","Set 2 Opener",872,"Standard Rock Jam (Type 1)","Type 1","","","","","[]","",""
"Pat","2010/6/25","Camden, NJ","Chalk Dust Torture","Set 2 Opener",1022,"Experimental (Pushing Boundaries)","Type 2","Digital","","","","[""Mike's envelope filter""]","",""
"Pat","2010/6/26","Columbia, MD","Rock and Roll","Set 2 Opener",1074,"Trey-led Noodling Jam","Type 1","Dirty/Bluesy","","","","[""Mike's Synth pedal""]","",""
"Pat","2010/6/27","Columbia, MD","Piper","Mid 2nd Set",997,"Shred-Fest","Type 2","Futuristic","","","","[]","",""
"Pat","2010/8/6","Berkeley, CA","Cities","Mid-set",487,"Plinko","Type 1","Bliss","","","","[]","",""
"Pat","2010/8/6","Berkeley, CA","Simple","Mid 2nd Set",945,"Ambient","Type 1","Bliss","","","","[]","",""
"Pat","2010/8/7","Berkeley, CA","Light","Mid 2nd Set",1038,"Deconstruction","Type 2","Major Chords (Ionian)","","","","[]","",""
"Pat","2010/8/14","East Troy, WI","Down With Disease","Mid 2nd Set",1032,"Trey-led Noodling Jam","Type 2","Dark, Sinister, Evil","","","","[]","",""
"Pat","2010/10/19","Augusta, ME","Light","Mid-set",868,"Hyper Funk","Type 1","","","","","[]","",""
"Pat","2010/10/19","Augusta, ME","Reba","Encore",978,"Bliss Jam","Type 2","","","","","[]","",""
"Pat","2010/10/20","Utica, NY","David Bowie","Mid-set",853,"Basic Tension and Release (Stash)","Type 1","","","","","[]","",""
"Pat","2010/10/20","Utica, NY","Split Open and Melt","Mid 2nd Set",1490,"Undefined/New","Type 2","","","","","[]","SOAM > Have Mercy > Piper (w/ Birds jam) > SOAM",""
"Pat","2010/10/23","Providence, RI","Rock and Roll","Set 2 Opener",796,"Deconstruction","Type 2","","","","","[]","",""
"Pat","2010/10/23","Providence, RI","Carini","Mid 2nd Set",482,"Deconstruction","Type 2","","","","","[]","",""
"Pat","2010/10/31","Atlantic City NJ","Stash","Mid-set",814,"Bliss Jam","Type 2","Major Chords (Ionian)","","","","[]","",""
"Pat","2010/12/28","Worcester, MA","Harry Hood","Mid 2nd Set",999,"Bliss Jam","Type 2","Bliss","","","","[]","",""
"Pat","2010/12/30","New York, NY","Tweezer","Set 2 Opener",1128,"Nightmare Music","Type 2","","","","","[]","",""
"Pat","2010/12/31","New York, NY","Sand","Mid 2nd Set",623,"Plinko","Type 1","Pentatonic","","","","[]","",""
"Pat","2010/12/31","New York, NY","Ghost","Mid 2nd Set",828,"Bliss Jam","Type 2","Bliss","","","","[]","",""
"Pat","2010/12/31","New York, NY","You Enjoy Myself","Set Closer",1075,"Standard Rock Jam (Type 1)","Type 1","Dirty/Bluesy","","","","[]","","Manteca"
"Jah","2011/1/1","New York City, NY","Gotta Jibboo","Mid-set",613,"Modern Rock","Type 1","Trey-led Noodling Jam","Dominant (Pentatonic)","Dominant (Pentatonic)","Trey","[""Whale-Call""]","",""
"Jah","2011/1/1","New York City, NY","Reba","Mid-set",744,"Prog Rock","Type 1","Bliss Peak","Bliss","Bliss","Trey","[]","Groove comes on slow - Page comes in with the clav 7:55 and between then and 8:27 you can see how much his slight playing adds to the texture of Trey's phrasing. 8:42-8:50 band dicusses a build and at 9:07 band is lock in. 11:50-12:16 peak then wind-down.",""
"Jah","2011/1/1","New York City, NY","Walls of the Cave","Set Closer",811,"Modern Rock","Type 1","Standard Rock Jam (Type 1)","Happy (Major Chords)","Happy (Major Chords)","Trey","[]","Trey starts jam (9:05) immediately throwing down scattered licks. Begins to lock in with band @ 9:25 begins tension groove. Interesting jam idea that never develops at 9:56-10:17","9:56-10:17"
"Jah","2011/1/1","New York City, NY","Crosseyed and Painless","Set 2 Opener",749,"Classic Rock","Type 1","Standard Rock Jam (Type 1)","Dominant (Pentatonic)","Dominant (Pentatonic)","Trey","[""Brilliant Clavinet""]","Song stays standard with Page laying funk clav while Trey plays straight blues rock solos. Band flirts with Type II territory around 8:45 amidst moans of 'Still waiting' but then back right back into Type I at 9:10. Band starts ""Still Waiting"" again at 11:16. Spaceship outro at 12:00-end",""
"Jah","2011/1/1","New York City, NY","Simple","Mid 2nd Set",705,"Psychedelic rock","Type 2","Bliss Peak","Bliss","Bliss","Full Band","[""Whale-Call""]","3:57 begins jam. Standard Trey and Page interplay, at 4:53 Mike perks up and adds himself to the mix. 5:38 band is really locked in - dissipation begins 6:35. By 7:07 full Type II Air/Whale call jam 7:50 melts into bliss jam. 9:20 regular guitar tone back Trey begins new rif idea picked up by Fish 9:43 rest of band shortly after. Progression cotinues until 10:35. The feeling of a build continues but no longer materializes. Fades back into riff at 11:35 end song.",""
"Jah","2011/5/27","Bethel, NY","Tweezer","Opener",574,"Psychedelic rock","Type 1","Standard Rock Jam (Type 1)","Dirty/Bluesy","Dirty/Bluesy","Fish","[]","You can hear the excitement in the band. From Fish's drum intro to the post-verse jaunts like at the 3:51 - 4:13 mark, Phish knew they were ready for an epic summer. Jam starts at 5:21 somewhat abrubtly with Trey realizing the other guys want to bring it down a bit. Immidiate Tweezer groove. Not quite Type II yet but cetainly the ""coming up"" period. 6:32 sees some Trey & Page interplay with a descending riff that expands out a bit. At around 7:11 Fishman starts to splash out the drums more and we almost again see Type II but then he brings it back, Trey catches on and by 7:28 we're full Type I rocker again launched by Fish. Very patient Trey playing, nothing too out of the box but very suitable for the jam. Mike is almost non-existent. Slight thumping through the 8th minute but jam is definitely a Trey post-game highlight reel with Fish running the projector. 9:28 again Fish splashes out the drums a bit and we fade out into MF MF.",""
